city,company_name,finance_status,registered_capital,recruit,field,location,latitude,longitude
上海,高清数字科技,战略投资,24900万人民币,100-499人,通信业,上海市浦东新区东三里桥路1018号,31.19274,121.524532
上海,威士顿,未融资,6600万人民币,100-499人,计算机软件,正确地址：淮海西路666号中山万博国际中心1602室,31.196931,121.42278
北京,中讯计算机系统(北京),A轮,4047.34万人民币,500-999人,计算机软件,海淀区首体南路12号,39.937641,116.32639
深圳,深圳市宁远科技有限公司(就医160),D轮,5628.1054万人民币,500-999人,互联网/电商,深圳市南山区东滨路4078号永新时代广场2号楼12楼,22.508786,113.919105
北京,中企通信,战略投资,8462万人民币,500-999人,通信业,北京市朝阳区建国门外大街19号中信国际大厦C座,39.90976,116.441289
北京,北京竞业达数码科技有限公司,天使轮,7950万人民币,500-999人,IT服务,北京市海淀区北清路中关村环保科技园竞业达大厦,40.057599,116.176086
北京,韦加航通,战略投资,6000万人民币,100-499人,通信业,北京市海淀区北三环西路43号青云当代大厦5层,39.968721,116.32977
上海,瀚银科技,IPO上市,17572.1201万人民币,100-499人,互联网金融,上海市黄浦区蒙自路763号丰盛创建大厦4楼,31.196741,121.48242
北京,北京领邦仪器技术有限公司ESC事业部,未融资,338.837735万人民币,50-99人,IT服务,北京市海淀区永捷北路3号永丰科技企业加速器1区B座3层,40.082419,116.24361
北京,电话录音,未融资,826万人民币,100-499人,互联网/电商,北京市东城区青龙胡同1号歌华大厦B座624室,39.948529,116.42419
北京,北京达因军惠网络技术有限公司,未融资,1000万人民币,500-999人,计算机软件,北京市朝阳区和平里东土城路14号建达大厦25层,39.95322,116.43332
上海,英恒电子,未融资,1000万人民币,100-499人,电子/芯片/半导体,上海市浦东新区张衡路1000弄68号 ,31.190371,121.60615
北京,海泰方圆,A轮,3680万人民币,100-499人,计算机软件,北京市海淀区东北旺西路8号中关村软件园9号楼国际软件大厦E座一层、二层,40.044329,116.297324
北京,汉王科技,IPO上市,21698.9292万人民币,500-999人,计算机软件,北京市海淀区东北旺西路8号中关村软件园5号楼汉王大厦,40.047036,116.29828
北京,振颜丽舍,未融资,500万人民币,500-999人,电子商务,北京市朝阳区望京南湖西园302号楼106,39.990164,116.454371
北京,航天开元,B轮,5150万人民币,100-499人,计算机软件,西城区三里河北街1号,39.91748,116.33921
北京,7K7K,D轮,7884.4479万人民币,100-499人,游戏开发,北京市海淀区北坞村路23号北坞创新园北区五号楼,39.978671,116.25724
北京,艺龙网信息技术（北京）有限公司,未融资,143565.74万人民币,2000-5000人,互联网/电商,北京市朝阳区酒仙桥路10号,39.977487,116.494842
北京,乐视控股,A轮,100000万人民币,5000-10000人,互联网/电商,北京市朝阳区姚家园路105号乐视大厦,39.934767,116.492604
北京,日立数据管理(中国)有限公司,未融资,4221.0万人民币,100-499人,IT服务,北京市东城区东长安街一号东方广场东方经贸城西二办公楼15层,39.909457,116.414506
上海,世纪天成,未融资,1000万人民币,500-999人,游戏产业,钦州北路1066号,31.179848,121.405353
深圳,深圳众合兴科技有限公司,未融资,100万人民币,100-499人,通信业,福田区上步中路1043号深勘大厦1501,22.547918,114.095674
上海,龙梦医院上海,未融资,5000万人民币,50-99人,互联网/电商,浦东新区张杨路500号华润时代广场12层Def座,31.227339,121.51784
