num_second_hand,link,district,area,house_name,address,avg_price,build_year,builder_type,builder,num_building,num_house
10,https://sz.lianjia.com/xiaoqu/2411062674846/,盐田区,沙头角,倚山花园二期,盐田区沙头角梧桐路1968号,50394,2004,板楼, 深圳拓劲房地产开发有限公司,2,484
0,https://sz.lianjia.com/xiaoqu/2420035385989625/,龙岗区,坪地,中骏云景府,龙岗区坪地深圳市龙岗区深汕公路与深汕高速交汇处中骏四季阳光旁,,2019,塔楼,暂无信息,3,481
4,https://sz.lianjia.com/xiaoqu/2411100842722/,龙岗区,龙岗宝荷,中信高尔夫别墅栖湖,龙岗区龙岗宝荷植物路 中信高尔夫别墅栖湖,74282,2005,塔板结合,中信深圳集团房地产开发有限公司,13,19
0,https://sz.lianjia.com/xiaoqu/2411063481678/,龙华区,上塘,御龙华庭,龙华区上塘龙华布龙路与简上路交汇处,,暂无信息,塔板结合,暂无资料,12,460
18,https://sz.lianjia.com/xiaoqu/2411051923994/,龙岗区,龙岗宝荷,御林,龙岗区龙岗宝荷植物园路125号,32925,2006,塔楼,深圳市绿色满庭芳实业发展有限公司,1,338
0,https://sz.lianjia.com/xiaoqu/24000000000201/,龙华区,上塘,海宁广场,龙华区上塘新区大道,,暂无信息,塔板结合,暂无信息,1,29
0,https://sz.lianjia.com/xiaoqu/24000000000754/,龙华区,民治,嘉熙业广场,龙华区民治深圳市龙华新区民治大道328号,,暂无信息,未知类型,暂无信息,1,18
17,https://sz.lianjia.com/xiaoqu/2411051982787/,南山区,西丽,桃源村一期,南山区西丽龙珠八路桃源村一期,67129,1997,塔楼/板楼/塔板结合,深圳市国土资源和房产管理局,70,3441
3,https://sz.lianjia.com/xiaoqu/2411049396058/,宝安区,西乡,绿海名苑,宝安区西乡西乡大道19号,60151,2005,塔楼,名居房地产有限公司,2,198
0,https://sz.lianjia.com/xiaoqu/2411062567425/,盐田区,沙头角,桥东新村东区,盐田区沙头角金融路61号,,1995,板楼,永泰雅居,8,171
18,https://sz.lianjia.com/xiaoqu/2411049297446/,宝安区,西乡,白金假日公寓,宝安区西乡海城路182号,86734,2007,塔楼,深圳市澎柏置地实业有限公司,1,747
3,https://sz.lianjia.com/xiaoqu/2411049528881/,宝安区,西乡,福中福花园二期,宝安区西乡新安六路10号,59557,2002,板楼/塔板结合,深圳市福中福房地产开发有限公司,15,694
36,https://sz.lianjia.com/xiaoqu/246992910103059/,龙岗区,坪地,恒裕嘉城,龙岗区坪地龙岗区赤石岗697号,39102,2016,塔板结合,深圳市恒裕实业（集团）有限公司,7,977
6,https://sz.lianjia.com/xiaoqu/2411051264501/,龙岗区,坪地,中航鼎尚华庭,龙岗区坪地吉祥路3号,26952,2008,塔板结合,深圳市中航地产发展有限公司,10,520
2,https://sz.lianjia.com/xiaoqu/2410479877237814/,龙岗区,坪地,柠檬时代,龙岗区坪地湖田路74号,28867,2005,板楼/塔板结合/平房,无开发商,6,329
10,https://sz.lianjia.com/xiaoqu/2414143004093814/,坪山区,坪山,天峦湖二期,坪山区坪山坪山新区比亚迪路转坪马线公路大山陂水库东侧,41291,2015,塔板结合,深圳市泰富华天峦湖置业有限公司,4,1000
8,https://sz.lianjia.com/xiaoqu/2411099549793/,坪山区,坪山,万科金域缇香二期,坪山区坪山行政五路,49867,2004,塔板结合,深圳市万科城市风景房地产开发有限公司,9,1842
0,https://sz.lianjia.com/xiaoqu/2420030726222343/,宝安区,石岩,田园阁,宝安区石岩阳台山庄114号,,暂无信息,未知类型,暂无信息,1,24
4,https://sz.lianjia.com/xiaoqu/2411100713575/,宝安区,石岩,宏发世纪城二期,宝安区石岩宝安区石岩街道,57873,2014,塔楼/塔板结合,深圳市宏发房地产开发有限公司,7,1515
0,https://sz.lianjia.com/xiaoqu/2411100449653/,龙岗区,龙岗双龙,汇峰轩,龙岗区龙岗双龙龙 岗 区龙 岗路与深惠路交汇处东侧南联村,,暂无信息,塔板结合,深圳市榕江实业有限公司,1,32
35,https://sz.lianjia.com/xiaoqu/2414148906267129/,坪山区,坪山,奥园翡翠东湾,坪山区坪山深圳市坪山新区坪山街道创景路与金牛东路交汇处,35593,2009,塔板结合,中国奥园地产集团有限公司,15,2261
0,https://sz.lianjia.com/xiaoqu/2420025030050622/,龙华区,民治,1970文化创意产业园,龙华区民治平安路文化创意产业园,,暂无信息,塔板结合,暂无信息,2,3
0,https://sz.lianjia.com/xiaoqu/2411051936266/,南山区,西丽,丽苑村,南山区西丽沙河西路32,,2000,塔楼/板楼,深圳市南山区南山实业公司,10,101
6,https://sz.lianjia.com/xiaoqu/2411099452980/,龙华区,民治,世纪春城三期6号地,龙华区民治民福路东侧,54906,2006,塔板结合,深圳恒安房地产开发有限公司,1,167
2,https://sz.lianjia.com/xiaoqu/2413918357196123/,大鹏新区,大鹏半岛,金海滩,大鹏新区大鹏半岛深葵路1024号,40827,2003,塔板结合,暂无信息,3,55
5,https://sz.lianjia.com/xiaoqu/2411062549067/,盐田区,盐田港,星港名苑,盐田区盐田港北山道125号,32947,2004,塔板结合,深圳市嘉信福实业发展有限公司,2,92
5,https://sz.lianjia.com/xiaoqu/2411049494947/,宝安区,西乡,金海华府,宝安区西乡新安四路一巷1号,68315,2008,塔板结合,深圳市港城豪庭实业发展有限公司,6,1012
12,https://sz.lianjia.com/xiaoqu/2411049341875/,宝安区,西乡,兴华花园,宝安区西乡宝安大道4001号,43347,1995,塔板结合,深圳市夏联物业管理有限公司,8,445
11,https://sz.lianjia.com/xiaoqu/2411049079059/,宝安区,西乡,锦明花园,宝安区西乡银田路43号,63038,2001,塔板结合,深圳市锦新明实业有限公司,9,509
4,https://sz.lianjia.com/xiaoqu/2411063555896/,宝安区,西乡,领航城领丽花园,宝安区西乡宝安区西乡街道,61534,2014,塔板结合,深圳机场地产有限公司,3,478
7,https://sz.lianjia.com/xiaoqu/2411049185587/,宝安区,西乡,中粮鸿云,宝安区西乡宝安大道4001-51号,58843,2010,塔板结合,中粮集团,4,460
13,https://sz.lianjia.com/xiaoqu/2411062529299/,盐田区,盐田港,和亨中心广场,盐田区盐田港盐田北四街1号,38152,2002,塔板结合,深圳市创建业实业有限公司,5,692
20,https://sz.lianjia.com/xiaoqu/246985969577000/,盐田区,盐田港,港城蓝山雅园,盐田区盐田港盐田盐田港中青一路与永安路交汇（中海半山溪谷东北侧）,48594,2015,塔板结合,深圳市港城建业房地产开发有限公司,4,496
2,https://sz.lianjia.com/xiaoqu/2411910365064467/,盐田区,盐田港,黄必围,"盐田区盐田港北山道128-3, 黄必围47号",32802,1994,塔板结合,河北康多提投资有限公司,3,186
2,https://sz.lianjia.com/xiaoqu/2420031730114485/,龙岗区,龙岗双龙,丽湾酒店,龙岗区龙岗双龙中心城新生路1号,21440,2005,塔板结合,四金房产,1,364
4,https://sz.lianjia.com/xiaoqu/2411063568464/,盐田区,盐田港,云顶道,盐田区盐田港中青一路深圳外国语学校高中部旁,76942,2013,板楼,深圳市鹏广达集团有限公司,1,56
5,https://sz.lianjia.com/xiaoqu/24000000000940/,龙岗区,龙岗双龙,深房翠林苑,龙岗区龙岗双龙广东省深圳市龙岗区龙凤路,37038,2018,板楼,暂无信息,3,31
