company_name,finance_status,recruit,city,location,registered_capital,longitude,latitude
深圳流量云互联网发展有限公司,未融资,少于15人,深圳,深圳龙华新区清湖尚美中心105,39万人民币,114.040342,22.668734
星博科技（深圳）有限公司,未融资,少于15人,深圳,深圳南山区长虹科技大厦3楼311A室,111.111111万人民币,113.957608,22.538288
深圳市锦禧科技有限公司,未融资,少于15人,深圳,深圳南山区高新技术产业园南区北科大厦,500万人民币,113.940026,22.525989
深圳智之屋互联网科技发展有限公司,未融资,少于15人,深圳,深圳宝安区福永街道办兴围锦灏大厦1017,1000万人民币,113.831057,22.694927
深圳市赫兹网络科技有限公司,未融资,少于15人,深圳,深圳南山区赛百诺大厦一楼A座108B印记（711旁边）,100万人民币,113.935482,22.548625
深圳帝华盛耀贸易有限公司,未融资,少于15人,深圳,深圳,100万人民币,114.057868,22.543099
深圳一众至信科技有限公司,未融资,少于15人,深圳,深圳宝安区宝安大道华丰国际商务大厦19楼1912,1000万人民币,113.858259,22.58612
深圳法儿科技有限公司,未融资,少于15人,深圳,深圳福田区益田创新科技园,100万人民币,114.057679,22.512094
深圳市易息通达信息科技有限公司,未融资,少于15人,深圳,深圳南山区科苑西工业区23栋4楼思微5.0,50万人民币,113.943591,22.543631
深圳市第九大道科技有限公司,未融资,少于15人,深圳,深圳福田区梅秀路深华科技园1栋东5楼,30万人民币,114.049813,22.563362
深圳都市科技有限公司,未融资,少于15人,深圳,深圳福田区安华工业区,500万人民币,114.02671,22.531874
深圳市大犬乌马文化科技有限公司,未融资,少于15人,深圳,深圳宝安区航城大道航城创新创业孵化基地,50万人民币,113.847527,22.605562
深圳平行线科技有限公司,未融资,少于15人,深圳,深圳南山区泰邦科技大厦,100万人民币,113.952514,22.535885
深圳星逸时代科技有限公司,未融资,少于15人,深圳,深圳南山区前海深港合作区,500万人民币,113.884846,22.524049
深圳市馥郁贸易有限公司,未融资,少于15人,深圳,深圳南山区华明路南油A区19栋702室,520万人民币,113.926237,22.507961
深圳惠到店网络科技有限公司,未融资,少于15人,深圳,深圳龙岗区深圳市龙岗区龙岗大道(龙岗段)6477号,50万人民币,114.2815,22.735953
lingstech Limited,未融资,少于15人,深圳,深圳福田区海滨广场英协大厦14-E,114.064604,22.527785,
深圳市超世科技有限公司,未融资,少于15人,深圳,深圳南山区西丽茶光路1018号创客公馆,500万人民币,113.949546,22.568978
深圳市前海三次元科技有限公司,未融资,少于15人,深圳,深圳福田区澳新亚大厦,500万人民币,114.068731,22.532294
深圳市脱库科技开发有限公司,未融资,少于15人,深圳,深圳罗湖区华达园-西2门,10万人民币,114.129501,22.572259
智萌（深圳）网络科技有限公司,未融资,少于15人,深圳,深圳福田区港中旅二期底商9号铺,20万人民币,114.014341,22.548275
橙团有限公司,未融资,少于15人,深圳,深圳福田区八卦四路华晟达大厦7楼5F,114.101487,22.56397,
深圳言之科技有限公司,未融资,少于15人,深圳,深圳南山区海德一道88号SCC中洲控股中心A座1603,100万人民币,113.933619,22.51746
博易行 abroadeasy,未融资,少于15人,深圳,深圳,114.057868,22.543099,
深圳市煮易科技有限公司,未融资,少于15人,深圳,深圳南山区松坪山路1号源兴科技大厦-1层3w孵化器,20万人民币,113.95163,22.553643
深圳市渊泊科技有限公司,未融资,少于15人,深圳,深圳南山区海天一路19号软件产业基地4A栋209B,50万人民币,113.937056,22.523681
深圳安澜航海信息科技有限公司,未融资,少于15人,深圳,深圳南山区南山大道枫叶大厦5G,100万人民币,113.921339,22.516693
深圳市星空互联技术有限公司,未融资,少于15人,深圳,深圳南山区科技园中区麻雀岭M-10栋4楼南座A02,150万人民币,113.939417,22.543292
深圳市轻舟科技有限公司,未融资,少于15人,深圳,深圳福田区彩田路3069号星河世纪大厦A栋1103B,10万人民币,114.067268,22.537616
深圳市滴滴测科技有限公司,未融资,少于15人,深圳,深圳福田区南方国际广场b栋,50万人民币,114.055439,22.526275
深圳市酷爱奠文化传播有限公司,未融资,少于15人,深圳,深圳福田区车公庙皇冠科技园2栋3楼3E05,100万人民币,114.023235,22.532886
深圳市第五维信息科技有限公司,未融资,少于15人,深圳,深圳深圳罗湖蔡屋围,114.108476,22.538205,
深圳极码科技有限公司,未融资,少于15人,深圳,深圳南山区软件产业基地4B602,100万人民币,113.937985,22.523394
深圳市众学科技有限公司,未融资,少于15人,深圳,深圳龙岗区清林路546号城投商务中心221室,500万人民币,114.213682,22.719793
全堆栈设计（深圳）有限公司,未融资,少于15人,深圳,深圳南山区大冲商务中心,20万人民币,113.953376,22.542201
深圳市力得鑫电子有限公司,未融资,少于15人,深圳,深圳龙华新区工业西路龙胜时代大厦702,50万人民币,114.015684,22.653986
深圳市千凡科技有限公司,未融资,少于15人,深圳,深圳龙岗区神舟百瑞达1205,50万人民币,114.06574,22.643736
深圳市前海云莱科技有限公司,未融资,少于15人,深圳,深圳南山区深圳市软件产业基地1栋,500万人民币,113.940148,22.524553
深圳思密达科技有限公司,未融资,少于15人,深圳,深圳,500万人民币,114.057868,22.543099
深圳雨果网络技术有限责任公司,未融资,少于15人,深圳,深圳福田区中银大厦A座11楼,100万人民币,114.042932,22.507984
深圳市百特尔微笑网络科技有限公司,未融资,少于15人,深圳,深圳宝安区43区兴华一路佳运达大厦,100万人民币,113.900016,22.560414
深圳天锐互动网络科技有限公司,未融资,少于15人,深圳,深圳龙华新区民治街道1980创意园三期三栋418,500万人民币,114.034599,22.620092
深圳骏晨科技有限公司,未融资,少于15人,深圳,深圳宝安区新湖路华美居商务中心B区1号楼606,1000万人民币,113.880455,22.56237
深圳市哎呦好赞科技有限公司,未融资,少于15人,深圳,深圳南山区海岸时代公寓,500万人民币,113.915682,22.540935
深圳市阿巨途科技有限公司,未融资,少于15人,深圳,深圳南山区A8音乐大厦,100万人民币,113.938648,22.522432
解决一个问题科技（深圳）有限公司,未融资,少于15人,深圳,深圳南山区科文路8号中钢大厦M6栋2层Wedo联合办公空间,300万人民币,113.94063,22.541697
深圳市理挽狂岚文化传媒有限公司,未融资,少于15人,深圳,深圳南山区南山街道学府路仓前锦福苑,100万人民币,113.91947,22.527548
深圳信源信用管理有限公司,未融资,少于15人,深圳,深圳南山区深港合作区前湾一路1号A栋201室,500万人民币,113.903417,22.515046
深圳市智捷通科技有限公司,未融资,少于15人,深圳,深圳宝安区航城街道华丰智谷科技园A1栋512,50万人民币,113.843369,22.629662
美特方文科技（深圳）有限公司,未融资,少于15人,深圳,深圳南山区月亮湾大道2076号中国高科大厦D栋,600万人民币,113.898468,22.506324
深圳市梨桃比特科技有限公司,未融资,少于15人,深圳,深圳南山区软件产业基地4栋A座801,100万人民币,113.937056,22.523681
深圳市小桔科技有限公司,未融资,少于15人,深圳,深圳南山区软件产业基地4栋B座602,100万人民币,113.938095,22.52397
深圳市无有传媒科技有限公司,未融资,少于15人,深圳,深圳南山区桑泰大厦,50万人民币,113.965044,22.589001
深圳伏特家信息技术有限公司,未融资,少于15人,深圳,深圳南山区南山科技园高新南六道航盛科技大厦1106,100万人民币,113.953693,22.535811
深圳狂舞者网络文化传媒有限公司,未融资,少于15人,深圳,深圳盐田区盐田国际创意港,100万人民币,114.226522,22.553113
深圳总和网络科技有限公司,未融资,少于15人,深圳,深圳福田区莲花一村3栋502,1000万人民币,114.071456,22.552887
深圳壹玖科技有限公司,未融资,少于15人,深圳,深圳福田区车公庙泰然科技园210栋西座B23室,100万人民币,114.025922,22.533058
深圳市轻车数据技术有限公司,未融资,少于15人,深圳,深圳南山区科技园数字技术园A3栋5楼D510,1000万人民币,113.947454,22.53342
深圳市有点土科技有限公司,未融资,少于15人,深圳,深圳宝安区石岩街道,50万人民币,113.940277,22.679953
深圳市白领世界信息技术有限公司,未融资,少于15人,深圳,深圳罗湖区电影大厦A栋2708室,50万人民币,114.113311,22.544821
深圳市微克信息技术有限公司,未融资,少于15人,深圳,深圳宝安区深圳市宝安区西乡下围园路口文浩商务大厦A座902,100万人民币,113.847598,22.598258
