restaurant_type,district,city,restaurant_name,address,score,avg_price,review_num,taste_rating,environment_rating,service_rating
川菜,龙华区,深圳,姚酸菜鱼(龙华天虹购物中心),腾龙路天虹购物中心3楼,4.51,89,703,4.54,4.74,4.58
川菜,龙华区,深圳,太二酸菜鱼(壹方天地店),龙华人民路壹方天地A区2层,4.75,92,1129,4.76,4.83,4.77
川菜,龙华区,深圳,探鱼(龙华cococity店),民治街道民泰社区星河盛世一层L1S-037A,4.74,98,491,4.71,4.7,4.76
川菜,龙华区,深圳,探鱼(壹方天地店),龙华街道人民路壹方天地A区负一层B1-043号商铺,4.84,97,713,4.85,4.85,4.74
川菜,龙华区,深圳,探鱼(龙华8号仓店),民康路1号深国际华南物流园8号仓奥特莱斯三层L311,4.68,95,340,4.78,4.87,4.81
川菜,龙华区,深圳,探鱼(龙华天虹购物中心店),人民路与腾龙路交汇处,4.84,101,1257,4.85,4.82,4.84
川菜,龙华区,深圳,缪氏川菜(龙华天虹购物中心店),人民路2020号龙华天虹购物中心2层,4.58,68,8616,4.43,4.78,4.7
川菜,龙华区,深圳,太二酸菜鱼(八号仓店),龙华新区民康路1号深国际华南物流园8号仓奥特莱斯二层L206号,4.7,89,886,4.73,4.83,4.84
川菜,龙华区,深圳,炭舍·干锅大王(龙华COCO City店),梅龙路2号星河COCOCity商场L2C-003号,4.69,85,3435,4.63,4.82,4.82
川菜,龙华区,深圳,撒椒(龙华壹方天地店),龙华街道人民路壹方天地A区一层L1-043/043A号商铺,4.57,95,1095,4.57,4.82,4.62
川菜,龙华区,深圳,张氏宽窄巷成都名小吃(壹方天地店),龙华街道人民路4022号壹方天地A2区B1-006,3.91,52,359,4,4.47,4.17
川菜,龙华区,深圳,辣宴·老坛酸菜鱼(民治店),民治大道嘉熙业广场5楼,4.54,73,4188,4.53,4.66,4.48
川菜,龙华区,深圳,星炭干锅(龙华ico店),龙华东环二路iCO购物中心二楼,4.18,71,959,4.31,4.56,4.33
川菜,龙华区,深圳,胡桃里音乐酒馆(龙华民治店),民治街道中梅路光浩国际中心112-113铺,4.07,127,1060,4.1,4.52,3.95
川菜,龙华区,深圳,尝馆·湘粤融合菜,腾龙路星河传奇2期底商131铺,4.27,73,262,4.58,4.63,4.84
面包甜点,光明区,深圳,榴芒一族(光明大仟里店),光明区松白路光明大仟里负一层B127号,3.89,27,46,3.94,3.99,3.92
面包甜点,光明区,深圳,松小贝(光明大仟里店),马田街道合水口社区松白路4699号A座-116,3.76,21,57,3.98,3.95,3.75
面包甜点,光明区,深圳,爱睿洱高端DIY定制蛋糕,公明街道民生大道71号万汇城购物中心三楼,4.32,163,115,4.32,4.29,4.39
面包甜点,坪山区,深圳,松小贝糕点店(坪山益田店),深汕路168号益田假日世界B1-5,3.97,17,26,3.95,3.94,3.94
面包甜点,龙华区,深圳,鲍师傅糕点(龙华壹方天地店),人民路4020号壹方天地B区负一楼B1-SYH-01-02铺,4.54,36,722,4.6,4.56,4.42
面包甜点,光明区,深圳,米芝莲(光明大仟里分店),长宁路天汇城生活体验馆,3.75,21,58,3.88,3.9,3.88
面包甜点,光明区,深圳,鮮芋仙(光明大仟里店),松白路,3.77,27,28,3.78,3.77,3.76
面包甜点,光明区,深圳,子情贝诺(光明店),光明街道河心南路高正豪景花园高正苑1栋104号,3.82,39,63,3.79,3.79,3.82
面包甜点,坪山区,深圳,TwentyTwo22烘焙研习社,坑梓街道坑梓社区湖心村三巷6号101,3.88,,7,3.96,3.97,3.97
面包甜点,坪山区,深圳,85度C(深圳坪山益田店),坪山街道深汕路与东纵路交汇处益田假日世界购物中心L1-14,4.31,28,155,4.26,4.27,4.24
面包甜点,坪山区,深圳,甜芙妮蛋糕坊(坑梓旗舰店),坑梓街道秀新社区秀岭路北一巷10号102,4.05,,42,4.04,3.94,4.03
面包甜点,龙华区,深圳,糖伴甜品自助餐(观澜天虹店),观澜求知路16号工商银行观澜支行旁边,4.66,41,241,4.58,4.59,4.69
面包甜点,龙华区,深圳,喜荟萃(壹方天地店),人民路4022号壹方天地A1区L2-026,4.71,29,944,4.72,4.77,4.63
面包甜点,龙华区,深圳,吴酥生宫廷酥饼(民治站店),民治大道339号地铁D出口80米,4.09,18,254,4.2,4.33,4.32
面包甜点,光明区,深圳,卡玛王子生日蛋糕(广雅店),光明新公明街道振明路广雅花园1栋104号（下单后需call店确认收货信息）,4.14,34,164,4.17,4.16,3.95
面包甜点,光明区,深圳,金稻田面包屋,河心北路滨河苑小区旁,3.86,24,61,3.83,3.65,3.7
面包甜点,光明区,深圳,御蝶坊生日蛋糕(光明大仟里店),光明区松白路,3.72,21,13,3.73,3.77,3.72
面包甜点,坪山区,深圳,胖先生手感烘焙(中兴总店),坪山街道中兴路21-23,3.76,26,82,3.82,3.83,3.78
面包甜点,坪山区,深圳,榴芒一族(坪山益田假日世界店),深汕路六和城益田假日世界一号门L1-L2号,3.84,26,54,3.82,3.88,3.86
面包甜点,坪山区,深圳,幸福西饼生日蛋糕(坪山店),站前路3号奋斗商业广场A栋1楼,3.95,121,108,3.95,3.91,3.93
面包甜点,龙华区,深圳,赵记传承(民治店),民塘路玖龙荟商场L1层,4.53,26,1232,4.55,4.54,4.54
面包甜点,龙华区,深圳,宫廷糕点(民治店),民治街道民治大道363号,4.25,18,199,4.24,4.13,4.4
面包甜点,龙华区,深圳,乔乡,观澜街道观澜大街新澜社区万安堂村45号,4.43,55,507,4.58,4.2,4.09
面包甜点,光明区,深圳,曾氏财姜撞奶,河心北路河心社区公园附近,3.66,26,38,3.74,3.63,3.68
面包甜点,光明区,深圳,车轮饼,兴发路96号,3.69,,4,3.57,3.57,3.64
面包甜点,光明区,深圳,幸福西饼生日蛋糕(光明中心分店),公明街道塘尾社区松白路面前岭1排3栋201,3.91,62,71,3.92,3.86,3.92
面包甜点,坪山区,深圳,椰味面包鸡(坪山天虹店),锦龙大道16-38号,3.53,,5,3.53,3.53,3.54
面包甜点,坪山区,深圳,面包时间Bread Time(坪山益田假日世界店),深汕公路168号坪山益田假日世界1层,3.6,21,31,3.56,3.72,3.67
面包甜点,坪山区,深圳,一期一会休闲屋,吉祥路群利宾馆隔壁,3.78,,8,3.78,3.74,3.85
面包甜点,龙华区,深圳,酥心SUSUM,民治大道梅花山庄欣梅园C5栋,4.67,71,477,4.54,4.84,4.65
面包甜点,龙华区,深圳,幸福西饼新零售(壹方天地店),景龙社区人民路4020号壹成中心花园壹方天地B区L1-007,4.25,25,180,4.37,4.53,4.28
面包甜点,龙华区,深圳,壹点壹客·生日蛋糕(龙华店),民治街道白石龙社区中航阳光新苑3栋56P,4.44,132,106,4.44,4.43,4.65
面包甜点,光明区,深圳,御蝶坊·面包(公明店),光明新区公明办事处宏发上域花园1栋楼商铺106,3.95,29,112,3.94,4.05,3.95
面包甜点,光明区,深圳,卡玛王子生日蛋糕(汇食创业店),光明新区公明街道汇食街56-58号转角位（下单后需call店确认收货信息）,4.02,33,214,4.21,4.31,3.95
面包甜点,光明区,深圳,子情贝诺·生日蛋糕(天虹店),公明街道建设中路102号,3.79,23,65,3.85,3.87,3.74
面包甜点,坪山区,深圳,美味思(六和城分店),坪山街道深汕路168号六和城商业广场一期益田假日世界L1-64,3.69,43,41,3.67,3.69,3.7
面包甜点,坪山区,深圳,南洋大师傅(益田假日世界店),东纵路益田假日世界二楼L2-07,3.9,27,77,3.92,3.9,3.91
面包甜点,坪山区,深圳,佳田生日蛋糕(坪山天虹店),中山大道与锦龙大道交汇处坪山天虹商场,3.76,17,147,3.83,3.87,3.75
面包甜点,龙华区,深圳,榴芒一族(COCOCity店),梅龙大道梅龙路2号COCO City F1层L1S-077-013,3.77,19,20,3.8,3.89,3.89
面包甜点,龙华区,深圳,榴芒一族(壹方天地店),龙华区龙华人民路龙华街道景龙社区人民路4022号壹方天地A区L2-028,4.21,28,267,4.3,4.42,4.19
